"ETA ID","VESSEL ID","PLACE ID","ETA","TERMINAL","VOYAGE","ETA SOURCE","RECORD CREATED","RECORD LAST UPDATED"
282742771,11145059,3416,"24/02/2018 07:00","","","AIS","21/02/2018 07:08:04","21/02/2018 07:08:04"
282780662,11145096,1675,"02/03/2018 00:00","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:04"
282795614,11145096,1697,"04/03/2018 00:00","","","LAN","22/02/2018 09:41:04","22/02/2018 09:41:04"
282714334,11145099,3164,"26/02/2018 08:00","","","AIS","20/02/2018 21:05:02","20/02/2018 21:05:03"
282710483,11145101,8805,"21/02/2018 08:30","","","AIS","20/02/2018 16:02:00","20/02/2018 16:02:01"
282784477,11145101,4313,"22/02/2018 17:00","","","AIS","22/02/2018 04:05:02","22/02/2018 04:05:02"
282678527,11145102,10004,"19/02/2018 20:00","","","AIS","20/02/2018 02:07:03","20/02/2018 02:07:04"
282677478,11145108,4743,"18/02/2018 11:00","","","LAN","20/02/2018 01:03:03","20/02/2018 01:03:03"
282784026,11145109,7705,"21/02/2018 15:00","","","AIS","22/02/2018 03:05:03","22/02/2018 03:05:04"
282755819,11145110,3974,"25/02/2018 22:00","","","AIS","21/02/2018 17:04:02","21/02/2018 17:04:03"
282799469,11145111,4489,"13/03/2018 00:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:01"
282801103,11145111,4489,"13/03/2018 06:00","","","AIS","22/02/2018 16:06:00","22/02/2018 16:06:01"
282709280,11145113,3923,"21/02/2018 13:30","","","AIS","20/02/2018 14:04:04","20/02/2018 14:04:04"
282766793,11145114,2159,"23/03/2018 00:03","","","LAN","21/02/2018 23:45:01","21/02/2018 23:45:03"
282773840,11145114,2159,"23/03/2018 00:30","","","LAN","21/02/2018 23:50:02","21/02/2018 23:50:03"
282739381,11145118,1165,"25/02/2018 02:00","","","AIS","21/02/2018 02:09:02","21/02/2018 02:09:02"
282676381,11145119,3083,"20/02/2018 12:00","","","AIS","20/02/2018 00:04:00","20/02/2018 00:04:00"
282737298,11145119,3099,"23/02/2018 06:00","","","AIS","21/02/2018 00:05:00","21/02/2018 00:05:00"
282715722,11145124,1791,"24/02/2018 18:00","","","AIS","20/02/2018 23:05:00","20/02/2018 23:05:00"
282714393,11145128,8842,"20/02/2018 10:00","","","AIS","20/02/2018 21:05:02","20/02/2018 21:05:03"
